lambda,w_l,mses4_train,mses4
0,"[[152.35126706298618], [4.994134941632963], [-254.62139883993854], [490.5317024461873], [325.2689707644821], [-67.7438537658689], [-163.0760572547649], [-174.5401444321585], [147.16092584268952], [572.3011507117355], [86.82193296016466], [92.11925788431425], [-41.43498950658487], [-43.439472181744804], [-10.498369590526828], [-85.08263982573457], [-2.7201843244390638], [121.2223930372369], [-15.53440066210154], [54.54446473429431], [133.59762924052353], [4.11718234883001], [72.60505533805653], [-63.9400106173585], [-133.76749398077024], [115.57196768923305], [70.34075401145523], [100.05150944891643], [43.678977631409836], [66.15222243650831], [125.88243962193144], [60.53682349489836], [-44.08474286636722], [141.08974393399902], [-7.376759766858388], [7.863117936889671], [-30.03556982601224], [168.28378810340485], [18.188349796981456], [115.80202420755168], [-22.126585595142508], [-20.16848934732986], [-2.431358769104113], [28.70346532868306], [-95.74200686813379], [-22.54818149533628], [48.11605128952539], [58.738311990778755], [32.49600171156779], [-79.99756669835023], [19.17677096053901], [123.87535007774397], [-152.93245824445393], [-82.58699861367921], [-27.410810053811147], [14.08620697774515], [11.6347528397291], [234.10752059249268], [37.02432001288535], [-71.33147062950255], [27.960952127872737], [30.52534189732776], [-134.00566444561235], [73.36157173190627], [60.59892227236628]]",2433.667834,2900.545156
0.01,"[[149.7741104137597], [-10.1210286914785], [-249.47533414043497], [514.0678084165778], [320.2332967630302], [-91.60440912142971], [-164.777186714679], [-171.52696032345676], [159.7929511768642], [582.542578990465], [105.34422153623017], [93.56066416299919], [-96.61506922399317], [-50.56879353375222], [-16.592914856436987], [-80.92570128003015], [-65.49197458465326], [168.09376539831777], [59.86442799290916], [83.96044674832062], [133.0839488202453], [-30.290978675618792], [80.18603057286866], [-87.22019243294191], [-150.850675256595], [160.7410842201467], [146.2384792799411], [93.76593275714626], [44.122408316983616], [63.98277118761466], [122.654200841722], [83.21512357424584], [-55.801295612673314], [135.89773141243663], [13.487685410211375], [-1.5964591530933276], [-13.93380592471041], [213.54738169716455], [-19.116552698586016], [148.0681826578691], [-57.618931373690714], [-64.86522127236222], [11.323083695145321], [-27.41495174604884], [-143.50639029742626], [-8.830164761621242], [106.0238443842021], [96.71549009220445], [33.65859048002566], [-107.90644491768056], [74.74514694423227], [144.3271848480249], [-222.3028672043003], [-176.03967110966266], [-62.33629605143948], [23.21064544585746], [32.06461154638136], [364.6068357122441], [49.095727471813674], [-53.32758341920937], [-23.854500863658046], [60.17380810159919], [-210.03467471632905], [80.29856974329272], [107.1611312304687]]",2379.454361,2908.438739
0.02,"[[151.40789351848258], [-6.170617237275139], [-233.55937335787002], [471.1226840124251], [297.6517712344227], [-65.74836703611348], [-147.74981236754294], [-170.47014212907519], [146.77878011339712], [528.6879443498423], [109.98345164473926], [82.62650069138634], [-28.120857874255016], [-18.336359641390526], [-14.858729858231573], [-79.30374126084186], [-18.26422345864699], [120.4924784011771], [10.95461230089997], [66.08119677957015], [119.03828522302926], [-22.341273823325057], [71.14022771296423], [-73.59016738409873], [-136.17533951699605], [113.03272495297821], [71.39200039911398], [82.67160811454814], [41.33815123024537], [47.337147255813036], [108.07835202880318], [70.0761355122419], [-33.25827847361579], [123.68228905182197], [7.843242004546353], [16.073898999050844], [-20.136850358545068], [165.11737773689313], [-10.741572026057945], [91.62386143583576], [-35.82687207227019], [-33.74129175681527], [-1.0947155733141662], [11.95133856570335], [-91.44216414094518], [-17.546226462409386], [60.035145802557814], [58.5988482527776], [33.08808905708204], [-70.46058865253357], [23.761939141981138], [112.21249843869889], [-153.76295501578502], [-96.14152318413005], [-25.982417832526686], [19.253570116486582], [7.53091103704819], [226.43159927484473], [38.117583870917265], [-61.605641045179716], [3.72677805917613], [25.644527258425537], [-127.26728495488646], [76.35699011028447], [72.87285958604532]]",2430.933664,2871.666424
0.03,"[[150.746317394018], [1.636422635525537], [-221.16629210333414], [447.4392258038847], [292.165985888645], [-53.04150447784129], [-140.95720575687827], [-177.70626866574122], [142.06887510183327], [509.4822410613608], [122.21903858840568], [89.43316037859071], [16.175697710928304], [-3.6928927570761685], [3.638111501807465], [-69.57263194732805], [5.257252170213581], [91.87221127711696], [-17.334762961822616], [49.082837936365486], [116.17984917780282], [-10.336438117219751], [70.41996228305881], [-60.89536564665417], [-123.95977964697887], [84.07036206883014], [37.461196179650706], [85.84721546073938], [40.4082117275387], [34.27021593583394], [97.41848615394055], [60.35602067495012], [-23.081484126973322], [120.21578870633337], [-2.0527069283822508], [22.4306829093974], [-35.67176931007544], [125.46976875873527], [2.397525089301715], [72.1177021203107], [-21.65118892904535], [-12.078108751386482], [-13.034807834699466], [38.422199354670006], [-66.71953603546692], [-25.70786834199755], [37.24536028466287], [36.13151012102479], [24.82497465898335], [-56.7248772303484], [7.808700377367372], [105.58285143732986], [-110.902816332107], [-39.60151450604438], [-1.1767985808436514], [25.5602440637507], [-3.8530241158608547], [155.72392818296245], [37.17990915235534], [-57.05427855154646], [36.4638146517681], [10.959404082341832], [-85.60743570978416], [74.43169999528297], [48.741262581427144]]",2462.605706,2858.572312
0.04,"[[150.32850285921072], [9.128881625517892], [-216.63885597446304], [456.002888670479], [302.31972974250675], [-48.121160509997935], [-129.01759613250354], [-170.4539751004032], [152.20508122514295], [527.1681769216788], [96.32434926451243], [75.44570049843672], [-37.36614248992221], [-30.36774450036073], [-10.976007427762637], [-72.6855948118074], [-14.152855732964317], [115.816929152769], [-5.87749014328077], [61.54545848936796], [114.3443274761437], [2.1212931130758053], [70.04540143384779], [-56.7951515648479], [-120.02421231546268], [110.87519619213143], [67.09273411643122], [87.27659736517393], [41.93073238934224], [60.75850594463253], [106.83184383262227], [57.41534765138286], [-40.24943808938304], [132.4921733171457], [-7.474752907388609], [0.42431465076106534], [-25.12612172583733], [165.30857399809534], [9.59446219649687], [99.95154121895325], [-25.55783435863152], [-20.48901662023459], [6.270887259908608], [30.474031752973886], [-91.99509908351847], [-25.394925394541023], [57.16764255037453], [44.4657772948454], [30.027561332410126], [-66.02276240059945], [23.26545227022783], [110.89245642242494], [-143.1514708341554], [-87.86442913462517], [-26.60691751322077], [14.797701991844999], [13.636880068589358], [212.92158129651455], [32.62861659362628], [-62.285428659115496], [22.096113371834846], [28.53047595444067], [-131.25297437755486], [68.97343159354169], [64.70975345807815]]",2439.163567,2842.456437
0.05,"[[150.79404678954447], [3.4263556234324604], [-208.17780194143347], [435.227039662838], [283.5684499078759], [-50.71487634674088], [-133.0072736336757], [-174.2793626965758], [141.56598093071278], [492.98328001658405], [123.71638706388288], [86.5191716514438], [15.291599713590209], [-3.027822757599953], [1.4124792345290027], [-67.49566774825622], [2.8615599243030703], [91.36343809929298], [-13.920480901903325], [48.32710753777402], [114.1282838714782], [-9.765746087442961], [70.69114062161987], [-59.72656143367668], [-119.45396633374666], [81.08400980918996], [42.71254088785511], [83.03078972090164], [39.93753319650346], [36.33840927089474], [94.2440261497814], [58.181161106585165], [-23.664629766832878], [111.54087883172257], [1.4604870054441936], [22.93857488531853], [-31.811199018454044], [124.93403181763001], [-4.480233893908558], [67.70021899561344], [-28.070086740896393], [-12.179661031572456], [-11.037146146471365], [34.991460014355305], [-71.6327049390328], [-28.510619177373613], [39.831870556058796], [33.715063003431574], [21.9516184480295], [-56.30347792347795], [9.308467305252611], [105.58178127822323], [-114.3710209757137], [-48.383214046844074], [-8.061641932745836], [26.660391808635104], [-4.600926778079412], [152.47826215721884], [31.713954697764205], [-55.66706757950646], [32.444305758912456], [11.49150529193933], [-89.75553695574857], [69.90969777488247], [48.35096031733226]]",2467.40446,2856.431306
0.06,"[[150.76224415792663], [2.3221865486171], [-200.87917076163305], [424.93674183249533], [275.76660677155076], [-47.4406730449353], [-127.65735214092525], [-173.0357705611518], [140.26828351022243], [478.77416256746073], [128.8007517650111], [85.7801678512447], [26.075926356456268], [5.067249858263494], [1.8366379092675955], [-64.89814893753886], [5.0112497408914995], [86.8110554005686], [-14.006659816183626], [48.47886233379138], [110.9837185199271], [-9.084282755873044], [72.36862045701113], [-56.08620350701679], [-114.4362157833738], [75.90722283524583], [39.038110850442976], [81.3784468835014], [40.854246771615976], [34.13734719947231], [89.44657756644936], [58.43731317425547], [-19.459736191365057], [106.48403170746647], [3.6185536719098437], [25.661451163584157], [-30.92469287420774], [121.07153272252911], [-7.20361891132697], [60.25896245676462], [-31.065275819659423], [-8.154986178897957], [-9.604248727690258], [38.85415622818388], [-66.57362393704034], [-29.373603229352618], [39.32655206890947], [28.530990405961113], [21.487231978229286], [-50.452727714478854], [6.506505170600431], [101.45049738624286], [-108.20259449506702], [-43.547844818512814], [-4.999041005595123], [27.07113117808642], [-7.052979712040893], [137.7038685779465], [30.33397528411653], [-54.6277342516438], [32.726184403241675], [7.766163722846112], [-82.47464833470755], [69.42064431694234], [47.154658586158526]]",2481.550497,2866.103357
0.07,"[[151.1241413862909], [8.592774667425145], [-203.80837332239867], [430.18446698708686], [284.6842755935757], [-45.469245249840334], [-126.24117147323982], [-170.18329485921058], [142.80583962276984], [492.71171288569866], [111.30672663927803], [79.45285322158671], [-0.473778458695953], [-12.502378551230366], [-2.2069050570284348], [-67.4678154340132], [0.7785914483155638], [95.1253083405771], [-15.974118538551156], [49.9954399808135], [111.29358456817526], [-3.204455489424153], [67.31710489665994], [-57.36754638527993], [-116.85534763083199], [85.38195692138889], [45.04046064949861], [82.2330031758519], [38.96871569744077], [44.876519622082405], [97.10784522863057], [54.16808616305586], [-28.673889778557253], [114.98518301717456], [-2.799322855230545], [15.245448192170645], [-29.40201225819788], [132.065326031236], [2.2512987583210413], [74.81979094301359], [-24.86794498309683], [-11.794098694398393], [-6.203013380595314], [36.632824489550394], [-75.17182905242159], [-28.329999602155187], [39.8778369473215], [34.74667389061613], [23.632240733543195], [-56.244810939678864], [10.732824967462738], [103.71511328270661], [-117.15811562705706], [-55.45282646769937], [-12.91816702368637], [21.298790745043487], [0.7393914778590418], [160.80225269784432], [29.78170603660582], [-58.29444434993649], [31.44187995477439], [14.19398106660073], [-97.61063570848366], [67.58887710168342], [49.83146875941053]]",2469.692406,2845.372184
0.08,"[[150.39177552704612], [6.175601303751174], [-187.3126684070269], [405.25651536218174], [266.5715893146343], [-38.68382482444246], [-118.18037584459626], [-173.78989148632746], [137.49015110683501], [457.8363389009654], [135.07358561338233], [85.60037183028167], [46.86070080964899], [13.828948320528696], [9.565306073103116], [-58.06455584264121], [14.767398513680327], [72.21781929492231], [-26.687499122950474], [37.927300214230605], [106.72315909370359], [-6.15835318281261], [70.29035126101651], [-50.61836021244171], [-106.99082024203005], [61.28724042931785], [21.831137616232972], [78.14146486861847], [37.80149519717133], [26.92812956146099], [81.60603607180276], [54.27024013011177], [-12.404612152731477], [100.00462126859591], [1.9663157746660826], [29.584680738947124], [-36.16896178747909], [100.06558987821762], [-5.467379989509512], [46.552184251288416], [-25.64751170607098], [0.33371991003281676], [-16.164638465480177], [47.09485004894141], [-54.92889947796332], [-33.27055559389548], [29.817864191441508], [16.19517759795916], [15.701657165398181], [-43.84676684248598], [-0.4466231141028367], [96.06310706539128], [-87.13431112000842], [-20.273700645719263], [3.7854453693761867], [29.82135329209475], [-12.23434039878403], [99.91425966682309], [27.074165490921615], [-51.084787380992886], [46.176372981232284], [2.371064865092944], [-63.14528476730473], [64.46906403179952], [32.96309805656512]]",2514.445753,2864.775963
0.09,"[[150.3981138779097], [6.082768483797294], [-183.28524700481177], [400.1285380688083], [262.1575342197503], [-38.84433697134491], [-115.97200939840167], [-171.29940604245004], [136.40187027671888], [449.9004017758502], [134.12770258114915], [82.79557262273357], [43.83629211305292], [13.803366717712843], [7.4548460669851755], [-58.1791975453825], [12.526547947112713], [73.20807427946177], [-22.8264467704493], [40.13668706485814], [105.1316470252259], [-8.761695707685359], [68.35470552318598], [-53.41303379109174], [-108.01205630543569], [59.68560238753939], [23.84946752822141], [75.6975339954038], [37.39615816415623], [26.869040814504274], [81.49203321654159], [53.790857135478426], [-12.897891835931196], [96.11428336679576], [4.128635691615068], [30.384374445280834], [-32.91285949877827], [100.30008768619659], [-8.870952281496596], [44.683248202090965], [-27.333815241148937], [-1.9494493024883588], [-15.560159728475426], [44.04335715124188], [-56.07547615043684], [-32.04195163385154], [28.828696697823457], [19.234025171678987], [16.570160595964033], [-42.59695821171917], [0.04628435493879718], [94.12019369144679], [-88.66611838301033], [-24.32190397952182], [1.965819400467426], [29.393932095830095], [-12.072819935183077], [101.95117044642765], [26.43375588011049], [-50.795086817902074], [40.62618901929931], [0.8405002672370663], [-63.269016098566844], [65.07053173554905], [35.751504324195196]]",2520.335126,2875.80759
