lambda,w_l,mses3_train,mses3
0.0,"[[148.15487599617964], [1.2748520835617327], [-293.38352236747284], [414.7254485512236], [272.0891342566744], [-86639.45688864903], [75914.46781675797], [32341.622732419186], [221.1012147252713], [29299.551116987222], [125.23036028186324], [94.41108333554311], [-93.86286320220907], [-33.72828002380223], [3353.197734140616], [-621.0962888927313], [791.7365357385547], [1767.7603890950384], [4191.674049566456], [119.43812089807986], [76.61034007171574], [-15.200129301520704], [82.24245937384647], [-1456.662083842661], [827.3867023345817], [869.2909522495257], [586.2344952506231], [427.0267265150185], [90.24676902816245], [-17.88762241017185], [141.69677379049347], [582.8193845031469], [-234.03751062026544], [-256.0714524348295], [-385.1774007562347], [-33.41767384315563], [-10.73500659811389], [257.1071888423944], [59.95545967700497], [383.7280420184327], [-404.1583900413856], [-514.2864344842058], [38.363663999737284], [-44.610288905819296], [-729.6435327573234], [377.4083383122977], [439.79429109961075], [308.5143734258526], [189.85967932204642], [-109.77379700517113], [-1919.6570133251698], [-1924.6337846090407], [-3489.7952764729166], [11796.968687919865], [530.6744147350116], [543.3059112189233], [1821.075179478822], [-10463.980650799562], [-516.6276108974653], [2064.3591735908144], [-4199.4133376576465], [-140.4957052241516], [374.15709003634583], [51.47574918681104], [-46.449273040867624]]",2187.160294930389,3707.8401817110944
0.01,"[[149.6045127099115], [10.853483434599397], [-250.13300572541522], [441.37549026789554], [313.38425174766894], [-95.65702659818025], [-153.41264558636763], [-127.75368699426573], [185.76938522137593], [633.2952089514893], [122.18452338253331], [103.05286545923447], [-62.759672716913364], [-17.58963539255789], [-24.58077350406122], [-104.78147461315336], [-149.2095199322786], [368.44484286687907], [207.97411312938112], [80.18480956574817], [115.80369447869714], [-8.035760575491182], [78.30657875519275], [-174.6459129861091], [-156.38035045866502], [282.9638818108304], [285.49950459598074], [81.14994658555409], [44.49273069684989], [31.023522969342885], [110.83899415548373], [170.68498333896574], [-53.93715711144749], [35.83042552287445], [-85.80904574858654], [0.028650291202584555], [-11.944076777590253], [205.31087985461266], [-75.86224484401455], [277.95251915572703], [-152.13503558107695], [-200.5242993188529], [16.257089740596015], [4.538006279649977], [-244.22989051555493], [29.912408767188662], [220.24978250985936], [212.63637313195574], [27.30332921154111], [-100.28020426446184], [132.67515210365391], [137.5934440678654], [-321.41399483218055], [-349.77560803900406], [-78.95972103856677], [-0.9459978135364029], [-38.309188463618554], [512.8753100540182], [26.523622905724565], [48.64239455476712], [-8.307574196789346], [89.69010055390204], [-297.570992107399], [130.7018353306805], [125.35265854488605]]",2306.8322179337324,2982.446119711895
0.02,"[[149.9322441036986], [6.548304802705431], [-235.80845885837078], [444.4696067086917], [305.7387772662961], [-78.18164422339916], [-148.60432732272966], [-149.06938254320522], [167.0546263174812], [583.7145486107853], [123.06584754807604], [97.98528574816686], [-39.039499383185316], [-13.81102318165269], [-22.471320228663515], [-88.16396885035641], [-94.48321153100713], [232.082675988349], [119.83543884330872], [71.20201888473956], [115.49960525125923], [-10.615943740976611], [76.3742898376115], [-118.37221934181501], [-151.80031577698864], [201.1340284098476], [188.77647227631968], [81.060211063283], [41.03067558387585], [36.49605792634653], [107.83543853725607], [114.73771760391493], [-42.70863972546472], [83.2671476077247], [-30.807863472681145], [7.920016274359952], [-20.64227579807181], [179.93206427113319], [-44.48114549010889], [189.38999397562472], [-99.10555289589848], [-115.79583729896517], [2.0050603069761816], [12.645341829445876], [-171.2830460418586], [2.0326968168825417], [150.94750821564256], [143.4547762281673], [22.459347288997762], [-87.99775795245613], [84.68905025128652], [131.25923826658763], [-243.36902651112413], [-224.80812819913405], [-63.90585338247074], [13.593244033460596], [-0.39113306485754507], [378.1317978601841], [41.0261720899061], [-9.002425520500434], [-3.1921935396411882], [63.26236672597359], [-226.0448225719917], [105.14303562220039], [104.27034968994161]]",2354.0713439338274,2900.9735870822396
0.03,"[[150.13407098317185], [5.044198985598516], [-225.64866519432897], [441.0023123639902], [298.1836491351409], [-68.55523568717904], [-143.0823746483539], [-158.48030132392574], [157.96436862286447], [552.5233439335201], [124.73224574839554], [94.64400986603728], [-21.84485045668772], [-9.635465561564462], [-15.65752564930749], [-79.80619072242685], [-63.092334944491824], [176.67962859258455], [74.99875554560167], [64.5739513856277], [114.50641256021859], [-11.280762464466683], [74.79289293894294], [-95.6564642561765], [-142.83813985320342], [159.74736517751484], [138.82632731397348], [81.42128770583393], [39.86886558767455], [37.01808162520525], [103.62084532870954], [92.93776651356347], [-36.4846013283533], [97.42080408791871], [-12.331842991142114], [12.431932857684043], [-24.80195049961594], [162.53072559084853], [-30.88949651490642], [145.9211834064143], [-74.188246019363], [-76.8098987782601], [-3.6359351948433822], [18.842545532119658], [-135.81434021174502], [-9.355004966922323], [114.25804461907776], [106.04660095201632], [21.373179534947877], [-78.53368630617001], [59.85083904033801], [123.85117188482404], [-200.3359984880455], [-163.48595576290074], [-47.78794676984605], [18.585800337693232], [4.539695355849805], [303.3322540847243], [41.114819407973975], [-28.247186553857283], [5.3877953729125565], [46.219809325764516], [-183.39719441641537], [91.85443683751842], [87.85199082764652]]",2386.780163097979,2870.9415888843964
0.04,"[[150.27450792714154], [4.576360713522664], [-217.18844389282106], [435.2384869353094], [291.3365155767533], [-61.833208193817676], [-137.8987352324372], [-163.36565368135783], [152.4240247982976], [529.6611855003298], [126.55090052036972], [92.14335707134249], [-8.455992810535786], [-5.52274831714443], [-10.11343927955452], [-74.31085305132973], [-43.37157176654469], [146.29422684149014], [48.02525919917958], [59.543689718240735], [113.07925803807619], [-11.299677939621596], [73.56206883498675], [-83.0799862812466], [-135.29754848001585], [133.91802921309412], [108.17720148407176], [81.06324077920239], [39.260333445491746], [36.05083601235454], [99.46425256576907], [81.31577160188145], [-31.65004117578103], [101.88724573569007], [-4.49205269035175], [15.87049609287043], [-27.190083815071198], [149.39947730635777], [-23.595348241506425], [119.31047047755877], [-60.19640607857478], [-54.71586371976316], [-6.718254486426305], [23.779892502761328], [-114.34886447672721], [-15.703388021472666], [91.59382384412075], [82.66793038030927], [20.64743580120416], [-71.05691030704396], [44.53304208269867], [117.70880202368961], [-172.3965089358488], [-126.24979358637405], [-35.8590455388815], [21.46932959474244], [3.595304238032883], [254.13930175881364], [39.09862440047485], [-37.0266041102679], [12.755780083379259], [34.91302292801183], [-154.56099986702515], [84.03119368290362], [75.97211585722137]]",2412.119043000749,2858.000409573397
0.05,"[[150.37886590219574], [4.5754635680129105], [-209.70756871693445], [428.6119882512005], [285.12889185706075], [-56.607843160905674], [-133.08531676491833], [-166.04629939999202], [148.59821726570277], [511.4918802316305], [128.31510198968056], [90.09229030685668], [2.3579809400079768], [-1.6630915296299786], [-5.865180206248823], [-70.20262289181765], [-30.06130771670871], [126.92663544195264], [30.304476276694643], [55.62354986245246], [111.4334397741962], [-11.06484486122627], [72.55143911880646], [-74.99686099786764], [-129.1461631140304], [115.97227968087714], [87.49055317226272], [80.27032273841378], [38.83474859537327], [34.58344801742749], [95.61401680762151], [74.0310603466252], [-27.70071252792209], [102.66946991605508], [-0.6678526406653136], [18.62331182996658], [-28.6848895463485], [138.96996452795034], [-19.334627562683096], [101.02414912395801], [-51.469549681905534], [-40.62572813690023], [-8.69343188650052], [27.80264982996791], [-99.83940319904494], [-19.818690788714772], [76.3190290916573], [66.70327744134684], [19.912178504633737], [-64.9570165868428], [34.136740214763954], [112.65476188217289], [-152.55261955489448], [-101.12575725849268], [-27.057654442225566], [23.46842007939467], [1.397103330944379], [218.7883186414959], [36.860352665637095], [-41.52496224889751], [18.606464600785348], [26.877885781774697], [-133.68397195735167], [78.919862587826], [67.13879191433142]]",2433.1744367023975,2852.6657351656745
0.06,"[[150.4595980697856], [4.807768987792613], [-202.90611468198603], [421.71945760092495], [279.45107288481336], [-52.297082326847736], [-128.59418907215945], [-167.5005702816241], [145.7406809555], [496.3060412273761], [129.94845774987428], [88.30438076468985], [11.290676886252479], [1.8853253064293192], [-2.583641568926213], [-66.89445480936888], [-20.61939955324258], [113.39301453676711], [17.990868267145913], [52.502359626481265], [109.6876551252115], [-10.72779628827871], [71.67974828666974], [-69.30906365623017], [-124.03437293176813], [102.63981795252121], [72.64220588231667], [79.24754013481528], [38.48319214999948], [32.980094455627615], [92.0953912179358], [68.97936153759235], [-24.417009136949453], [101.85387966574399], [1.391226690563923], [20.85757155232602], [-29.65490134454216], [130.41115985990405], [-16.75108795650267], [87.51340343600758], [-45.64238361747546], [-30.92288499399684], [-10.071397806905276], [31.13334896143341], [-89.33525423364851], [-22.730536740096106], [65.41116623987105], [55.11621317911694], [19.149250407767262], [-59.84315841153007], [26.643507353342947], [108.40501275475559], [-137.6175696802494], [-83.0438356608345], [-20.40214777318924], [24.972636201029175], [-0.9245109287404976], [191.91306578585963], [34.783093925045875], [-43.90393504910027], [23.200237600532123], [20.85041180396354], [-117.85322799756122], [75.30611309420298], [60.36839225607545]]",2451.528490643498,2851.3302134438477
0.07,"[[150.52373700751994], [5.16244817595506], [-196.62751054118692], [414.8354749160881], [274.21260878840604], [-48.606942239373566], [-124.37943888976015], [-168.21276978373635], [143.48832806152208], [483.1766093177507], [131.42561571119413], [86.68255411287966], [18.784336668845505], [5.118384055181693], [-0.004297035497170754], [-64.10262484543428], [-13.67941626435099], [103.32964389114733], [9.093194092250986], [49.97468217402369], [107.90691234540783], [-10.354538955933712], [70.89966683035338], [-65.05098855547969], [-119.68766616720958], [92.26487653048832], [61.51193521221723], [78.11016746825533], [38.16726281988263], [31.390424914811806], [88.8813896716902], [65.22254773016982], [-21.651799116410935], [100.30397068320663], [2.5906007480804796], [22.682727599394642], [-30.28509459752158], [123.22349687259177], [-15.172431009669584], [77.02112508239091], [-41.56084195809386], [-23.869928740832293], [-11.076642640693725], [33.9254087650153], [-81.36227845460014], [-24.910283822360103], [57.28894839932198], [46.320932552594094], [18.383037555546572], [-55.46150389373952], [21.014741795316848], [104.7498153187469], [-125.90786977091237], [-69.44505491953348], [-15.242866446064292], [26.15603234732876], [-3.0633653109338956], [170.66136484673294], [32.92997191676397], [-45.11206400463488], [26.8193468108486], [16.14144823766748], [-105.43354416928346], [72.59078390573019], [55.044960952450865]]",2468.0775525260105,2852.3499940577212
0.08,"[[150.57563867807167], [5.5818769580821765], [-190.7763685489339], [408.0916628464221], [269.34388416690507], [-45.36862016501677], [-120.40472904806118], [-168.44903317288], [141.64182504664083], [471.55063097128647], [132.74307837284954], [85.17274682468414], [25.143110379789825], [8.053338495622182], [2.0580246860688707], [-61.67169944308209], [-8.44332108591486], [95.50457414807923], [2.4764205877775485], [47.899529673553985], [106.12769700695853], [-9.975607446591695], [70.18285657319623], [-61.71544000651627], [-115.91477364228045], [83.91107056131219], [52.89398667343496], [76.92233583040377], [37.871635727856784], [29.877449119837703], [85.93565283506815], [62.28122906599525], [-19.2974527311309], [98.41883519035133], [3.33837343677472], [24.179573991554726], [-30.680549123251467], [117.08115243918255], [-14.22819758992215], [68.57208072504025], [-38.598642076567984], [-18.533125135683314], [-11.825535631942424], [36.28918006165994], [-75.09607861504594], [-26.606600518389264], [51.04456524286914], [39.41114183683362], [17.63458952806477], [-51.64129130170838], [16.65681919725704], [101.54475687122412], [-116.44206858170807], [-58.885270618690306], [-11.15750513735481], [27.11302767235965], [-4.949772056669703], [153.35908444515348], [31.287149447770204], [-45.626916070490935], [29.688983325983557], [12.34689026261858], [-95.43093262333763], [70.45052901136114], [50.7713172820241]]",2483.365646530864,2854.879739175838
0.09,"[[150.6181851641541], [6.034167776522111], [-185.28803719949093], [401.5503536842752], [264.7912499096957], [-42.47612098293847], [-116.6417689258239], [-168.3668777565942], [140.0818496407149], [461.0744596703695], [133.9069282893546], [83.74326511530694], [30.58692677525493], [10.714927475837458], [3.73162099426016], [-59.508476222374156], [-4.414461083040601], [89.2121769601913], [-2.552441467187574], [46.17677190548025], [104.37086421658947], [-9.60534458633811], [69.51164983939239], [-59.01055486413683], [-112.58317397868765], [77.00584226417736], [46.05101577595094], [75.72031988625507], [37.5895463066973], [28.465708993946617], [83.22380447963069], [59.88586505176075], [-17.273401894462687], [96.39675778669267], [3.834295152798627], [25.409988924883677], [-30.906512402556174], [111.75916151665317], [-13.699084058137906], [61.578923196668484], [-36.38864617096305], [-14.368002337148193], [-12.386431344699789], [38.30655859808783], [-70.03752162012479], [-27.964300533976797], [46.12039468590616], [33.83288834009635], [16.916895901575476], [-48.263472673646035], [13.20412289818403], [98.6896921103524], [-108.6059779818585], [-50.483093830514505], [-7.864949522116152], [27.901318357542305], [-6.587333375510155], [138.95139788607602], [29.824868597716815], [-45.71213417581161], [31.978329297059055], [9.21451935781567], [-87.20473126854817], [68.69811593244053], [47.28155811781621]]",2497.7402585657887,2858.4444211485747
