Lambda,Training Accuracy,Validation Accuracy,Test Accuracy,m
0,76.078,75.26,76.29,4
0,90.882,90.71,90.4,8
0,91.18,91.09,91.14,12
0,92.774,92.64,92.37,16
0,93.206,93.15,93.04,20
10,68.32,68.23,68.53,4
10,89.012,89.02,89.7,8
10,92.216,92.18,92.11,12
10,93.346,93.09,92.91,16
10,93.83,93.69,93.62,20
20,69.504,68.7,69.96,4
20,90.378,90.3,90.19,8
20,91.27,90.78,90.82,12
20,92.812,92.74,92.32,16
20,93.702,93.49,93.24,20
30,64.924,64.5,65.54,4
30,89.7,89.63,89.81,8
30,91.732,91.55,91.59,12
30,92.528,92.55,92.35,16
30,93.268,93.15,92.96,20
40,77.308,77.73,76.75,4
40,89.156,89.47,89.3,8
40,92.41,92.1,92.45,12
40,92.39,92.4,92.4,16
40,92.966,93,92.77,20
50,70.908,70.72,71.18,4
50,88.59,88.55,89.11,8
50,91.472,91.52,91.46,12
50,92.444,92.5,92.31,16
50,93.086,93.4,93.19,20
60,65.856,65.14,66.39,4
60,77.346,76.63,77.1,8
60,90.892,91.04,90.7,12
60,91.89,92.19,91.74,16
60,92.812,92.97,92.79,20
